Time (h)	GUR	mu
3.82	-2.12920695	0.310716511
3.83	-2.123493168	0.309972371
3.84	-2.117808371	0.309230739
3.85	-2.112152359	0.308491602
3.86	-2.106524932	0.307754948
3.87	-2.100925893	0.307020766
3.88	-2.095355045	0.306289044
3.89	-2.089812194	0.305559771
3.9	-2.084297148	0.304832936
3.91	-2.078809715	0.304108525
3.92	-2.073349706	0.30338653
3.93	-2.067916934	0.302666937
3.94	-2.062511211	0.301949737
3.95	-2.057132354	0.301234917
3.96	-2.05178018	0.300522467
3.97	-2.046454506	0.299812375
3.98	-2.041155153	0.299104631
3.99	-2.035881943	0.298399224
4	-2.030634699	0.297696142
4.01	-2.025413245	0.296995375
4.02	-2.020217407	0.296296913
4.03	-2.015047013	0.295600744
4.04	-2.009901892	0.294906858
4.05	-2.004781874	0.294215244
4.06	-1.999686791	0.293525892
4.07	-1.994616477	0.292838791
4.08	-1.989570765	0.292153931
4.09	-1.984549493	0.291471302
4.1	-1.979552497	0.290790893
4.11	-1.974579615	0.290112693
4.12	-1.969630689	0.289436694
4.13	-1.964705559	0.288762884
4.14	-1.959804068	0.288091254
4.15	-1.954926061	0.287421793
4.16	-1.950071381	0.286754492
4.17	-1.945239877	0.286089341
4.18	-1.940431395	0.285426329
4.19	-1.935645785	0.284765448
4.2	-1.930882897	0.284106686
4.21	-1.926142582	0.283450035
4.22	-1.921424694	0.282795485
4.23	-1.916729086	0.282143027
4.24	-1.912055613	0.28149265
4.25	-1.907404131	0.280844345
4.26	-1.902774499	0.280198103
4.27	-1.898166574	0.279553915
4.28	-1.893580217	0.278911771
4.29	-1.889015288	0.278271661
4.3	-1.884471649	0.277633577
4.31	-1.879949164	0.27699751
4.32	-1.875447696	0.276363449
4.33	-1.870967111	0.275731387
4.34	-1.866507275	0.275101314
4.35	-1.862068056	0.274473221
4.36	-1.857649322	0.273847099
4.37	-1.853250943	0.27322294
4.38	-1.84887279	0.272600734
4.39	-1.844514733	0.271980472
4.4	-1.840176646	0.271362147
4.41	-1.835858403	0.270745749
4.42	-1.831559877	0.270131269
4.43	-1.827280945	0.269518699
4.44	-1.823021484	0.268908031
4.45	-1.81878137	0.268299255
4.46	-1.814560483	0.267692364
4.47	-1.810358701	0.267087349
4.48	-1.806175907	0.266484201
4.49	-1.80201198	0.265882913
4.5	-1.797866803	0.265283476
4.51	-1.793740259	0.264685881
4.52	-1.789632233	0.264090121
4.53	-1.78554261	0.263496187
4.54	-1.781471276	0.262904072
4.55	-1.777418116	0.262313767
4.56	-1.77338302	0.261725264
4.57	-1.769365876	0.261138555
4.58	-1.765366573	0.260553633
4.59	-1.761385001	0.259970489
4.6	-1.757421052	0.259389115
4.61	-1.753474618	0.258809505
4.62	-1.749545591	0.258231649
4.63	-1.745633865	0.257655541
4.64	-1.741739335	0.257081172
4.65	-1.737861895	0.256508535
4.66	-1.734001443	0.255937622
4.67	-1.730157873	0.255368426
4.68	-1.726331086	0.25480094
4.69	-1.722520978	0.254235155
4.7	-1.718727448	0.253671065
4.71	-1.714950398	0.253108661
4.72	-1.711189727	0.252547938
4.73	-1.707445338	0.251988886
4.74	-1.703717131	0.2514315
4.75	-1.700005011	0.250875771
4.76	-1.69630888	0.250321693
4.77	-1.692628644	0.249769258
4.78	-1.688964207	0.249218459
4.79	-1.685315475	0.24866929
4.8	-1.681682354	0.248121743
4.81	-1.678064753	0.247575811
4.82	-1.674462578	0.247031487
4.83	-1.670875739	0.246488765
4.84	-1.667304144	0.245947637
4.85	-1.663747704	0.245408096
4.86	-1.66020633	0.244870136
4.87	-1.656679931	0.24433375
4.88	-1.653168421	0.24379893
4.89	-1.649671713	0.243265672
4.9	-1.646189718	0.242733967
4.91	-1.642722352	0.242203809
4.92	-1.639269528	0.241675191
4.93	-1.635831162	0.241148108
4.94	-1.632407169	0.240622552
4.95	-1.628997466	0.240098516
4.96	-1.625601971	0.239575995
4.97	-1.622220599	0.239054982
4.98	-1.61885327	0.238535471
4.99	-1.615499903	0.238017455
5	-1.612160416	0.237500927
5.01	-1.60883473	0.236985882
5.02	-1.605522766	0.236472313
5.03	-1.602224443	0.235960215
5.04	-1.598939685	0.23544958
5.05	-1.595668413	0.234940403
5.06	-1.59241055	0.234432677
5.07	-1.58916602	0.233926397
5.08	-1.585934746	0.233421556
5.09	-1.582716652	0.232918149
5.1	-1.579511665	0.232416168
5.11	-1.576319709	0.231915609
5.12	-1.57314071	0.231416466
5.13	-1.569974595	0.230918732
5.14	-1.566821291	0.230422401
5.15	-1.563680726	0.229927469
5.16	-1.560552828	0.229433928
5.17	-1.557437526	0.228941773
5.18	-1.554334748	0.228450999
5.19	-1.551244424	0.227961599
5.2	-1.548166485	0.227473568
5.21	-1.545100861	0.2269869
5.22	-1.542047484	0.22650159
5.23	-1.539006284	0.226017632
5.24	-1.535977194	0.225535021
5.25	-1.532960147	0.22505375
5.26	-1.529955075	0.224573815
5.27	-1.526961913	0.224095209
5.28	-1.523980594	0.223617928
5.29	-1.521011052	0.223141966
5.3	-1.518053223	0.222667317
5.31	-1.515107041	0.222193976
5.32	-1.512172444	0.221721939
5.33	-1.509249365	0.221251198
5.34	-1.506337744	0.22078175
5.35	-1.503437516	0.220313588
5.36	-1.500548619	0.219846709
5.37	-1.497670992	0.219381105
5.38	-1.494804572	0.218916773
5.39	-1.491949299	0.218453707
5.4	-1.489105111	0.217991902
5.41	-1.486271948	0.217531353
5.42	-1.483449751	0.217072054
5.43	-1.48063846	0.216614001
5.44	-1.477838016	0.216157188
5.45	-1.47504836	0.215701612
5.46	-1.472269433	0.215247265
5.47	-1.469501179	0.214794145
5.48	-1.466743539	0.214342245
5.49	-1.463996456	0.213891561
5.5	-1.461259874	0.213442088
5.51	-1.458533736	0.212993821
5.52	-1.455817986	0.212546756
5.53	-1.453112569	0.212100886
5.54	-1.450417429	0.211656209
5.55	-1.447732512	0.211212718
5.56	-1.445057763	0.21077041
5.57	-1.442393128	0.210329279
5.58	-1.439738553	0.20988932
5.59	-1.437093985	0.20945053
5.6	-1.434459371	0.209012904
5.61	-1.431834657	0.208576436
5.62	-1.429219793	0.208141122
5.63	-1.426614725	0.207706958
5.64	-1.424019403	0.20727394
5.65	-1.421433774	0.206842062
5.66	-1.418857788	0.20641132
5.67	-1.416291395	0.205981709
